IREG_NAME_2016,STATE_CODE_2016,STATE_NAME_2016
Dubbo,1,New South Wales
North-Eastern NSW,1,New South Wales
North-Western NSW,1,New South Wales
NSW Central and North Coast,1,New South Wales
Riverina - Orange,1,New South Wales
South-Eastern NSW,1,New South Wales
Sydney - Wollongong,1,New South Wales
No usual address (NSW),1,New South Wales
Migratory - Offshore - Shipping (NSW),1,New South Wales
Melbourne,2,Victoria
Victoria exc. Melbourne,2,Victoria
No usual address (Vic.),2,Victoria
Migratory - Offshore - Shipping (Vic.),2,Victoria
Brisbane,3,Queensland
Cairns - Atherton,3,Queensland
Cape York,3,Queensland
Mount Isa,3,Queensland
Rockhampton,3,Queensland
Toowoomba - Roma,3,Queensland
Torres Strait,3,Queensland
Townsville - Mackay,3,Queensland
No usual address (Qld),3,Queensland
Migratory - Offshore - Shipping (Qld),3,Queensland
Adelaide,4,South Australia
Port Augusta,4,South Australia
Port Lincoln - Ceduna,4,South Australia
No usual address (SA),4,South Australia
Migratory - Offshore - Shipping (SA),4,South Australia
Broome,5,Western Australia
Geraldton,5,Western Australia
Kalgoorlie,5,Western Australia
Kununurra,5,Western Australia
Perth,5,Western Australia
South Hedland,5,Western Australia
South-Western WA,5,Western Australia
West Kimberley,5,Western Australia
No usual address (WA),5,Western Australia
Migratory - Offshore - Shipping (WA),5,Western Australia
Tasmania,6,Tasmania
No usual address (Tas.),6,Tasmania
Migratory - Offshore - Shipping (Tas.),6,Tasmania
Alice Springs,7,Northern Territory
Apatula,7,Northern Territory
Darwin,7,Northern Territory
Jabiru - Tiwi,7,Northern Territory
Katherine,7,Northern Territory
Nhulunbuy,7,Northern Territory
Tennant Creek,7,Northern Territory
No usual address (NT),7,Northern Territory
Migratory - Offshore - Shipping (NT),7,Northern Territory
ACT,8,Australian Capital Territory
No usual address (ACT),8,Australian Capital Territory
Migratory - Offshore - Shipping (ACT),8,Australian Capital Territory
Christmas - Cocos (Keeling) Is.,9,Other Territories
Jervis Bay,9,Other Territories
Norfolk Island,9,Other Territories
No usual address (OT),9,Other Territories
Migratory - Offshore - Shipping (OT),9,Other Territories
